[33mWARN[0m[2026-08-25 00:03:25] not enable search                            
[36mINFO[0m[2026-08-25 00:03:25] init offline download tool 115 Cloud success: ok 
[36mINFO[0m[2026-08-25 00:03:25] init offline download tool 115 Open success: ok 
[36mINFO[0m[2026-08-25 00:03:25] init offline download tool 123Pan success: ok 
[36mINFO[0m[2026-08-25 00:03:25] init offline download tool 123 Open success: ok 
[36mINFO[0m[2026-08-25 00:03:25] init offline download tool GuangYaPan success: ok 
[36mINFO[0m[2026-08-25 00:03:25] init offline download tool Thunder success: ok 
[36mINFO[0m[2026-08-25 00:03:25] init offline download tool ThunderBrowser success: ok 
[36mINFO[0m[2026-08-25 00:03:25] init offline download tool ThunderX success: ok 
[33mWARN[0m[2026-08-25 00:03:25] init offline download tool aria2 failed: failed get aria2 version: Post "http://localhost:6800/jsonrpc": dial tcp 127.0.0.1:6800: connect: connection refused 
[36mINFO[0m[2026-08-25 00:03:25] init offline download tool SimpleHttp success: ok 
[36mINFO[0m[2026-08-25 00:03:25] init offline download tool PikPak success: ok 
[33mWARN[0m[2026-08-25 00:03:25] init offline download tool qBittorrent failed: Post "http://localhost:8080/api/v2/auth/login": dial tcp 127.0.0.1:8080: connect: connection refused 
[33mWARN[0m[2026-08-25 00:03:25] init offline download tool Transmission failed: failed get transmission version: can't get session values: 'session-get' rpc method failed: failed to execute HTTP request: Post "http://localhost:9091/transmission/rpc": dial tcp 127.0.0.1:9091: connect: connection refused 
[36mINFO[0m[2026-08-25 00:03:25] start HTTP server @ 0.0.0.0:5244             
[GIN] 2026/08/25 - 00:04:11 | 200 |   2.84ms |  103.151.172.97 | GET      "/"
[GIN] 2026/08/25 - 00:04:11 | 200 |   3.68ms |  103.151.172.97 | GET      "/assets/index-Cwxs0RaT.js"
[GIN] 2026/08/25 - 00:04:11 | 200 | 89.062µs |  103.151.172.97 | GET      "/assets/en-Cb1udzIe.js"
[GIN] 2026/08/25 - 00:04:11 | 200 | 97.396µs |  103.151.172.97 | GET      "/assets/rolldown-runtime-Dd_uD5pT.js"
[GIN] 2026/08/25 - 00:04:11 | 200 | 100.521µs |  103.151.172.97 | GET      "/assets/micromark-factory-space-C61DdfyV.js"
[GIN] 2026/08/25 - 00:04:11 | 200 |   1.24ms |  103.151.172.97 | GET      "/assets/components-DFUx0M5w.css"
[GIN] 2026/08/25 - 00:04:11 | 200 | 125.521µs |  103.151.172.97 | GET      "/assets/preload-helper-BlqD8ULz.js"
[GIN] 2026/08/25 - 00:04:11 | 200 | 154.687µs |  103.151.172.97 | GET      "/assets/zh-TW-BKjAsqlH.js"
[GIN] 2026/08/25 - 00:04:11 | 200 |   1.33ms |  103.151.172.97 | GET      "/assets/lib-CTQQvnBG.js"
[GIN] 2026/08/25 - 00:04:11 | 200 | 156.25µs |  103.151.172.97 | GET      "/assets/zh-CN-D7L2on4W.js"
[GIN] 2026/08/25 - 00:04:11 | 200 | 85.938µs |  103.151.172.97 | GET      "/assets/lib-sSi2QqY4.js"
[GIN] 2026/08/25 - 00:04:11 | 200 | 88.541µs |  103.151.172.97 | GET      "/assets/archive-DWS1gHM1.js"
[GIN] 2026/08/25 - 00:04:11 | 200 |   8.88ms |  103.151.172.97 | GET      "/assets/components--D9HLKs-.js"
